code;label-fr_BE;label-en_US;label-nl_BE;allowed_extensions;available_locales;date_max;date_min;decimals_allowed;default_metric_unit;group;localizable;max_characters;max_file_size;metric_family;minimum_input_length;negative_allowed;number_max;number_min;reference_data_name;scopable;sort_order;type;unique;useable_as_grid_filter;validation_regexp;validation_rule;wysiwyg_enabled
mechvent_usp_2_variant;USP Ventilation mécanique 2 global;;USP Mech vent 2 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;27;pim_catalog_simpleselect;0;0;;;0
mechvent_usp_3_variant;USP Ventilation mécanique 3 global;;USP Mech vent 3 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;28;pim_catalog_simpleselect;0;0;;;0
mechvent_usp_4_variant;USP Ventilation mécanique 4 global;;USP Mech vent 4 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;29;pim_catalog_simpleselect;0;0;;;0
mechvent_usp_else_variant;USPs supplémentaires Ventilation mécanique global;;Overige USPs Mech vent overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;30;pim_catalog_multiselect;0;0;;;0
usp_gevelbekleding_1_variant;USP Bardage 1 global;;USP Gevelbekleding 1 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;31;pim_catalog_simpleselect;0;0;;;0
usp_gevelbekleding_2_variant;USP Bardage 2 global;;USP Gevelbekleding 2 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;32;pim_catalog_simpleselect;0;0;;;0
usp_gevelbekleding_3_variant;USP Bardage 3 global;;USP Gevelbekleding 3 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;33;pim_catalog_simpleselect;0;0;;;0
usp_gevelbekleding_4_variant;USP Bardage 4 global;;USP Gevelbekleding 4 overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;34;pim_catalog_simpleselect;0;0;;;0
usp_gevelbekleding_else_variant;USPs supplémentaires Bardage global;;Overige USPs Gevelbekleding overkoepelend;;;;;0;;variant_group;0;;;;0;0;;;;0;35;pim_catalog_multiselect;0;0;;;0
variant_description;Description;;Lange omschrijving variantgroup;;;;;0;;variant_group;1;;;;0;0;;;;0;45;pim_catalog_textarea;0;0;;;0
variant_description_short;Description brève du groupe de variante;;Korte omschrijving variantgroup;;;;;0;;variant_group;1;;;;0;0;;;;0;46;pim_catalog_text;0;0;;;0
variant_image_1;Image 1;;Afbeelding 1;;;;;0;;variant_group;0;;;;0;0;;;;0;0;pim_catalog_text;0;0;;;0
variant_image_2;Image 2;;Afbeelding 2;;;;;0;;variant_group;0;;;;0;0;;;;0;0;pim_catalog_text;0;0;;;0
variant_image_3;Image 3;;Afbeelding 3;;;;;0;;variant_group;0;;;;0;0;;;;0;0;pim_catalog_text;0;0;;;0
facet_rank;Ranking facet search;;Ranking facet search;;;;;0;;marketing;0;;;;0;0;100.0000;0.0000;;0;0;pim_catalog_number;0;1;;;0
download_software;Logiciel;;Software;;;;;0;;assets;1;;;;0;0;;;;0;0;pim_catalog_text;0;1;;url;0
BIM_2015;BIM 2015;;BIM 2015;;;;;0;;assets;1;;;;0;0;;;;0;0;pim_catalog_text;0;0;;url;0
BIM_2016;BIM 2016;;BIM 2016;;;;;0;;assets;1;;;;0;0;;;;0;0;pim_catalog_text;0;0;;url;0
BIM_2017;BIM 2017;;BIM 2017;;;;;0;;assets;1;;;;0;0;;;;0;0;pim_catalog_text;0;0;;url;0
BIM_2018;BIM 2018;;BIM 2018;;;;;0;;assets;1;;;;0;0;;;;0;0;pim_catalog_text;0;0;;url;0
sunp_technology;Technologie;;Technologie;;;;;0;;general;0;;;;0;0;;;;0;0;pim_catalog_multiselect;0;0;;;0
mechvent_usp_else;USP supplémentaires ventilation mécanique;;Overige USPs Mechanische ventilatie;;;;;0;;marketing;0;;;;0;0;;;;0;0;pim_catalog_multiselect;0;0;;;0
vent_size_type;Exécution;;Uitvoering;;;;;0;;variant_group;0;;;;0;0;;;;0;0;pim_catalog_simpleselect;0;0;;;0
vent_type_variant;Exécution (Basic/High/Ultra/Extreme);;Uitvoering (Basic/High/Ultra/Extreme);;;;;0;;variant_group;0;;;;0;0;;;;0;0;pim_catalog_simpleselect;0;0;;;0
variant_type_acoustic;Variante type d'affaiblissement acoustique;;Variant type geluidsdemping;;;;;0;;variant_group;0;;;;0;0;;;;0;0;pim_catalog_simpleselect;0;0;;;0
variant_type_placement;Variante installation;;Variant plaatsing;;;;;0;;variant_group;0;;;;0;0;;;;0;0;pim_catalog_simpleselect;0;0;;;0
depth_beugel;Profondeur de l'équerre (mm);;Diepte beugel (mm);;;;;0;;measurements;0;;;;0;0;;;;0;0;pim_catalog_text;0;0;;;0
type_aansluiting;Type de raccordement;;Type aansluiting;;;;;0;;general;0;;;;0;0;;;;0;0;pim_catalog_multiselect;0;0;;;0
type_uitvoering;Type d'exécution;;Type uitvoering;;;;;0;;general;0;;;;0;0;;;;0;0;pim_catalog_multiselect;0;0;;;0
preheater;préchauffage;;Preheater;;;;;0;;general;0;;;;0;0;;;;0;0;pim_catalog_multiselect;0;0;;;0
tech_drawing;Dessin technique;;Technische tekening;;;;;0;;assets;1;;;;0;0;;;;0;0;pim_catalog_text;0;0;;url;0
manual;Manuel;;Handleiding;;;;;0;;assets;1;;;;0;0;;;;0;0;pim_catalog_text;0;0;;url;0
specification_text;Cahier des charges;;Bestek;;;;;0;;assets;1;;;;0;0;;;;0;0;pim_catalog_text;0;0;;;0
video;Vidéo;;Video;;;;;0;;marketing;1;;;;0;0;;;;0;43;pim_catalog_text;0;0;;url;0
dwg_files;Fichier DWG;;DWG Bestanden;;;;;0;;assets;1;;;;0;0;;;;0;0;pim_catalog_text;0;0;;url;0
ecolabel;Label écologique;;Ecolabel;;;;;0;;assets;1;;;;0;0;;;;0;0;pim_catalog_text;0;0;;url;0
test_report_1;Rapport de test 1;;Test rapport 1;;;;;0;;assets;1;;;;0;0;;;;0;0;pim_catalog_text;0;0;;url;0
test_report_3;Rapport de test 3;;Test rapport 3;;;;;0;;assets;1;;;;0;0;;;;0;0;pim_catalog_text;0;0;;;0
test_report_4;Rapport de test 4;;Test rapport 4;;;;;0;;assets;1;;;;0;0;;;;0;0;pim_catalog_text;0;0;;url;0
finish;Finition;;Afwerking;;;;;0;;general;1;;;;0;0;;;;0;39;pim_catalog_text;0;0;;;0
name;Nom;;Naam;;;;;0;;general;1;;;;0;0;;;;0;13;pim_catalog_text;0;1;;;0
